""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"1700007K09Rik"	0.0706305226046945	0	0.0738907056294736	0.562371005258611	0.41022283140652	0.257455513561125	0
"Fam24a"	0	0.120134926447594	0.126438592437339	0.376564869860319	0.445587240105755	0.136261421573489	0.227409469843946
"2310057M21Rik"	1.11476918283163	1.09437922282183	1.45171700126668	1.39475379253446	1.39680202311399	1.30416900740116	1.25128756282297
"Pstk"	1.34741765126298	1.30455873722771	0.994940594896134	1.05802956381351	1.02236381791965	1.15966295669236	1.16675263681096
"Ikzf5"	1.0903635135243	1.05051965234915	1.29712503656955	1.17338331297881	1.23971929926014	1.20191990535757	1.15850654389172
"Acadsb"	1.56290555252937	1.54936364028064	1.583185436342	1.3907047412533	1.44243046546081	1.47051761534728	1.55631453762389
"Hmx3"	0	0	0	0	0	0	0
"Hmx2"	0.561892233821678	0.550239924903223	0.1141058336998	0.0899255406073593	0.16951198841663	0.279022252633541	0.265128506689974
"Bub3"	1.69722563503089	1.72339433355025	1.71246675298495	1.671187654576	1.66440463873232	1.65686432484199	1.66775036367994
"Gpr26"	0	0	0	0	0	0	0
"Cpxm2"	0	0	0	0	0	0	0.0305262233682692
"Chst15"	0.502884929157413	0.525846333947861	0.436865190681307	0.187566964901088	0.193266771754552	0.206590259524926	0.370483863689127
"Gm10584"	0.0192941103898101	0.0374159513164198	0	0	0	0	0
"Oat"	1.78174418234489	1.8271251319949	1.7751536675192	1.68903890895291	1.75131166494338	1.7754431018672	1.79701314931001
"Nkx1-2"	0	0	0	0	0	0	0
"Lhpp"	1.47888145598802	1.52047840138485	1.296726493726	1.08172878745215	1.06054175029497	1.1052323050759	1.25139587916233
"Fam53b"	0.700576200206591	0.784885218928275	0.857197188186588	0.761618711494674	0.719374100303888	0.750413806168825	0.769822739423759
"Mettl10"	1.36284059450249	1.3629405905845	1.37047458410553	1.34543683296474	1.42367404924462	1.38212902023236	1.33013329629844
"Fam175b"	1.3870706820743	1.36654549567741	1.49456226076225	1.44529074983146	1.46216022400934	1.43852972824038	1.44761254226399
"Zranb1"	1.33780721122028	1.33039330951606	1.47026088436793	1.47279621467771	1.5030462711539	1.44414784215294	1.4042495838242
"Ctbp2"	1.37092743311207	1.38274027670615	1.30278465726045	1.22481566704112	1.28290464475791	1.26488610832726	1.31190244351908
"4930483O08Rik"	0	0.0471898564295203	0	0	0	0	0
"Tex36"	0	0	0	0	0	0	0
"Edrf1"	1.05347378923869	1.02033142103928	0.965870470489212	1.18915581026449	1.23482234020569	1.13525403126406	1.01293769895842
"Mmp21"	0.0270454541509201	0	0	0	0	0	0
"Uros"	0.883443217955117	0.927327143381867	0.89346758254093	0.567229272178124	0.664135976522821	0.745633841970298	0.831891580013594
"Bccip"	1.69764694789953	1.69097881327664	1.71175546894646	1.74852477730604	1.78227401236896	1.76622742808841	1.73526996145112
"Dhx32"	1.38579058393943	1.37004430102525	1.190331866196	1.06343939802377	1.12214098072143	1.16421165032792	1.26952185379597
"Fank1"	0.293949380226045	0.317654218145208	0	0.0771904951001207	0.205614726185877	0.19148887541421	0.322079081616811
"Adam12"	0.137771793460363	0.155733779610399	0.034098583713089	0.0142483452946377	0.0147760197336763	0.00766900291416374	0.0279722824044061
"D7Ertd443e"	0	0	0	0.0203272813868984	0.0210746790455335	0.0216819075257691	0
"Dock1"	1.45435863400874	1.43752852854344	1.34551013806112	1.15236986155085	1.16731676984711	1.19329847465211	1.42312585891496
"Fam196a"	0.0323117880753228	0	0	0	0	0	0
"1700120G07Rik"	0	0	0.0576015585622202	0.0587234652278128	0	0.117055925025513	0
"Nps"	0.0564548524639725	0	0	0.202841550208735	0.0623676541394064	0.0640803553783987	0
"Foxi2"	0	0	0	0.0409166543421303	0.0423850334163547	0.0831760762242063	0
