""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"Ptprs"	1.7639202013623	1.74398932998498	1.75638484567844	1.70684663218742	1.66544207139545	1.69343712943526	1.73227319316465
"Safb2"	1.65183103673609	1.58998185953383	1.62994099902283	1.68316859809428	1.66174028529091	1.76185997897451	1.58974492133244
"Safb"	1.71135895644433	1.6750167308052	1.82898659042153	1.76954106127974	1.77114004126949	1.74873981772983	1.65199150405393
"2410015M20Rik"	1.71265076883285	1.78736859029578	1.85174017615641	1.70764588059955	1.68411819862966	1.73724475989378	1.77451349929757
"Rpl36"	1.94361923436906	2.00023255287547	2.0440190021822	2.20188270010467	2.1531868492871	2.09912314588152	2.04566310328179
"Lonp1"	1.92155352881269	1.89984743553541	2.05960496859657	1.89439750039447	1.89886884615763	1.93871184831259	2.04196226095752
"Ranbp3"	1.68958897852064	1.71059742582099	1.70817621375531	1.77621701420505	1.75411024197736	1.73787107643396	1.67587188980707
"Ndufa11"	1.19008681569795	1.21528896557263	1.24514573074424	1.25937874502197	1.21806105035801	1.22465994535061	1.18045363042724
"Dus3l"	1.35722627838369	1.33501310064263	1.53188028413477	1.66793451453162	1.61221924609947	1.64135894239623	1.4434211392346
"Mllt1"	1.21699158010651	1.24974418593552	1.33795293245472	1.33311544241422	1.24724241400744	1.25736366677097	1.26736419434494
"Clpp"	1.67112058467055	1.68754212344781	1.82039895610569	1.72219730634231	1.7155463500963	1.73434486854002	1.73902740145805
"Alkbh7"	1.16240067024303	1.03593532942973	1.17451874025079	1.19820990615044	1.17377416509571	1.18141844221616	1.14519196044594
"Gtf2f1"	1.90789783191792	1.92763319999193	2.0133628388857	1.96346490242716	1.94191311516154	1.96501948063975	1.96338173471596
"Khsrp"	1.7763520661261	1.76848100262325	1.79575438175517	1.9431685922213	1.89678005811749	1.84952407565049	1.78175609395146
"Tnfsf9"	1.22080800471807	1.26701882151468	1.079499529168	1.62857626298004	1.54822011131756	1.59126972813874	1.41168151573297
