""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"Tacc1"	10.1326745792459	8.74392988880048	10.2871758271753	10.3370558098974	9.83966621740308	8.72576606706942	8.16256388133052
"Mir8108"	0	0	0	0	0	0	0
"5430421F17Rik"	0.0520194658671697	0	0	0.0557685648606955	0.115738487331944	0.059578618666541	0
"Fgfr1"	54.8813128998024	57.8774205002716	64.7723821543109	105.727709996186	100.88267513484	101.304815481243	96.9637240853087
"Gm16159"	0.766104860952863	0	0	0.136886477385344	0.85225613398977	1.90109955926872	0.13652481048859
"Letm2"	2.50139317298419	2.53339754367478	4.53748858036747	2.62072420156083	3.60484052864959	2.60443675885165	2.24908372326322
"Whsc1l1"	17.7039791649323	17.6034529814189	25.9673650327167	30.6152746099047	31.1166689673964	26.6775815996538	24.8477422943228
"Ppapdc1b"	25.3356543244379	24.7094508547058	49.5061581953445	29.0547050118454	25.0246333533941	24.972445063973	32.3436494764576
"Ddhd2"	25.0688230728799	23.6616678635854	23.4183841629181	22.3463084098185	24.8065389332281	26.6608384407406	26.6549734581408
"Bag4"	15.1564032867582	15.4035358954585	12.5979119105361	21.4782216731318	20.8752710687738	17.4728551160607	12.7996634657257
"Lsm1"	18.8688489252554	17.7838782373781	21.2505040561367	19.1440958870422	18.1769501232755	17.4392423227768	17.5249263090735
"Star"	2.14517008731997	1.82928963306689	5.10022704037601	8.52833158144849	8.81643054174343	6.92707381019751	4.04582945382271
"Ash2l"	39.1140549232286	36.0372850856732	28.1001104961301	46.6774300765395	43.6640522064605	42.2636144699878	36.4352291145248
"Kcnu1"	0.101431328942357	0.0669641567288718	0	0.0362471980615396	0.225675300277665	0.0774471423617737	0.0361514295686297
"Hgsnat"	44.1175167687581	45.2336129796356	52.6503249991069	65.6426609302639	65.0912345510272	51.2429494434753	53.2711758671287
"Pomk"	10.8079432873758	12.147550936069	8.56511568649731	13.0441294869186	12.8716079034931	11.1254508311679	10.8472961757541
"Fnta"	55.7255416889982	59.6468540940336	61.9224549612391	56.7478501862398	54.9314796693406	52.483346807162	52.2546716168316
"Hook3"	19.6153223601052	18.4393025745603	16.1166762999759	18.0975205893474	20.3726021413366	18.7906581674393	15.5336857256366
"1700047A11Rik"	0	0	0	0	0	0.220536983612438	0
"Rnf170"	8.72133251883377	8.15346335895332	7.0455055593526	4.44610075716993	6.34366640048707	6.6358254583768	7.17321928927278
"Thap1"	10.7957027807043	13.9241876463113	14.8772276080699	13.6626833868468	12.3026387229004	12.0025818430095	11.2616407416702
"2310008N11Rik"	0	0	0.222301372218451	0	0	0	0
"Zfp703"	24.8161183514255	29.7262198921961	32.9283150899508	47.9812989483244	36.7286721909389	26.2295544684953	26.2639862355962
"Erlin2"	33.9845346229325	35.033024249921	52.1852048656631	37.0178162487688	39.1191686479031	36.5660940382499	39.2497582863591
"Prosc"	22.3451473470494	23.2749383384936	36.540935083125	35.4678113841727	36.0425494701725	33.2186262529458	28.1416882290193
"Adgra3"	31.5286333620863	28.0508992721794	15.7716719065175	14.8705559042496	12.638246322646	16.5308798628036	15.6410860462966
"Brf2"	11.8262475492597	14.0194764046211	18.0406484543095	13.8816547023098	12.6760004889151	10.479891947223	13.7526782163542
"Rab11fip1"	2.92278863304521	2.92408889954177	2.40839045969549	2.74778335678037	2.18431873973084	2.43767432984796	2.83668217348515
"4933416M07Rik"	0	0	0	0.168406389941179	0	0.0899558748945471	0
"Got1l1"	0	0.0871867394578342	0	0	0	0	0
"Adrb3"	0.768845844355199	0.338390608099673	0.089715902634137	0.137376232223932	0.190067855761583	0.24460273674367	0.137013271349014
"Eif4ebp1"	109.527224004729	104.486508274293	134.452220770264	141.687969420848	134.840646846638	127.673153652575	122.575899423074
"Gm9731"	0	0.102270950436698	0.216916909915582	0.332151011302672	0	0.118281081176221	0.220848958143307
"Tex24"	0	0	0	0	0	0.0773813977587502	0
"Chrnb3"	0	0	0	0	0	0	0
"Chrna6"	0	0	0	0	0	0	0
"Poteg"	0	0	0	0	0	0	0
